accept.mu,screed.alpha,speed,shoes
3.4133333333333336,H,100,shoe
2.71,H,80,shoe
0.47,I,100,bare
0.6566666666666667,I,80,bare
3.76,I,100,shoe
3.946666666666667,I,80,shoe
1.5733333333333333,A,100,bare
2.1566666666666667,A,80,bare
1.94,A,100,shoe
1.4333333333333331,A,80,shoe
1.0466666666666666,C,100,bare
0.76,C,80,bare
1.7066666666666668,C,100,shoe
1.1033333333333335,C,80,shoe
0.7533333333333333,H,100,bare
1.83,H,80,bare
2.58,H,100,shoe
2.0866666666666664,H,80,shoe
0.73,I,100,bare
1.26,I,80,bare
1.1,I,100,shoe
2.13,I,80,shoe
3.453333333333333,A,100,bare
7.1433333333333335,A,80,bare
7.843333333333334,A,100,shoe
5.71,A,80,shoe
2.956666666666667,C,100,bare
2.816666666666667,C,80,bare
5.123333333333333,C,100,shoe
5.073333333333333,C,80,shoe
4.3933333333333335,H,100,bare
4.463333333333333,H,80,bare
4.173333333333333,H,100,shoe
4.286666666666666,H,80,shoe
1.39,I,100,bare
4.373333333333333,I,80,bare
4.75,I,100,shoe
4.476666666666667,I,80,shoe
8.2,A,100,bare
8.68,A,80,bare
9.666666666666666,A,100,shoe
9.826666666666666,A,80,shoe
8.363333333333333,C,100,bare
8.916666666666666,C,80,bare
9.483333333333333,C,100,shoe
9.5,C,80,shoe
8.483333333333333,H,100,bare
6.819999999999999,H,80,bare
8.406666666666666,H,100,shoe
8.52,H,80,shoe
5.883333333333333,I,100,bare
7.53,I,80,bare
6.463333333333333,I,100,shoe
8.436666666666667,I,80,shoe
4.723333333333334,A,100,bare
4.073333333333333,A,80,bare
2.3966666666666665,A,100,shoe
2.34,A,80,shoe
5.326666666666666,C,100,bare
4.086666666666667,C,80,bare
3.52,C,100,shoe
4.656666666666666,C,80,shoe
4,H,100,bare
4.316666666666666,H,80,bare
3.48,H,100,shoe
4.01,H,80,shoe
6.87,I,100,bare
5.92,I,80,bare
4.32,I,100,shoe
3.42,I,80,shoe
9.802518102195062,A,100,bare
9.81,A,80,bare
9.933333333333334,A,100,shoe
9.802518102195062,A,80,shoe
9.536666666666669,C,100,bare
9.802518102195062,C,80,bare
9.773333333333332,C,100,shoe
9.426666666666666,C,80,shoe
9.58,H,100,bare
9.802518102195062,H,80,bare
9.802518102195062,H,100,shoe
9.802518102195062,H,80,shoe
9.802518102195062,I,100,bare
9.802518102195062,I,80,bare
9.802518102195062,I,100,shoe
9.802518102195062,I,80,shoe
9.186666666666667,A,100,bare
9.786666666666669,A,80,bare
9.65,A,100,shoe
9.61,A,80,shoe
8.923333333333334,C,100,bare
9.23,C,80,bare
9.623333333333331,C,100,shoe
