rating,subject_id
2,A25
3,A26
3,A27
3,A28
1,A29
4,A30
5,A31
2,A32
2,A33
5,A34
2,B35
2,B36
7,B37
3,B38
4,B39
6,B40
4,B41
5,B42
5,B43
4,B44
2,C45
2,C46
6,C47
3,C48
3,C49
1,C50
5,C51
1,C52
2,C53
4,C54
