SpecimenID,Species,Treatment,Number,StartDate,EndDate,Duration,Inoculant,InitialDryWeight,PostInoculationWeight,PostInnocDryWeight,PostExtractionWeight,ImpregnatedOilWeight,Retention.kg.m3,WoodWeight,RemainingOilWeight.g,EndWeightMinusWoodWeight,OilRemainingPerc,MCPostInoculation,RelativeMassLoss,OilExtract.g,OilExtract_rel,OilContent ,PetriDish
P-DM-MB-34,P,DM,154,04/08/2016,29/09/2016,8,gt,1.8323,2.1829,1.7084,1.2036,0.74,493,1.0923,0.6161,0.1113,0.83,0.28,0.07,0.5,0.3,NA,gt10
P-DM-MB-35,P,DM,155,04/08/2016,29/09/2016,8,gt,1.8253,2.171,1.7332,1.1458,0.746,497,1.0793,0.6539,0.0665,0.88,0.25,0.05,0.59,0.34,0.51,pm11
P-DM-MB-36,P,DM,156,04/08/2016,29/09/2016,8,gt,1.8246,2.1736,1.7034,1.2222,0.718,479,1.1066,0.5968,0.1156,0.83,0.28,0.07,0.48,0.28,0.39,pm12
P-DM-MB-37,P,DM,157,04/08/2016,29/09/2016,8,pm,1.81,2.1412,1.709,1.2846,0.727,485,1.083,0.626,0.2016,0.86,0.25,0.06,0.42,0.25,0.33,pm13
P-DM-MB-38,P,DM,158,04/08/2016,29/09/2016,8,pm,1.7874,2.008,1.6686,1.1068,0.731,487,1.0564,0.6122,0.0504,0.84,0.2,0.07,0.56,0.34,0.51,pm14
P-DM-MB-39,P,DM,159,04/08/2016,29/09/2016,8,pm,1.8122,2.0602,1.7014,1.3199,0.728,485,1.0842,0.6172,0.2357,0.85,0.21,0.06,0.38,0.22,0.29,pm15
P-DM-MB-4,P,DM,124,13/07/2016,02/11/2016,16,gt,1.5513,1.7613,1.3388,0.8993,0.99,660,0.5613,0.7775,0.338,0.79,0.32,0.14,0.44,0.33,0.49,pm16
P-DM-MB-40,P,DM,160,04/08/2016,29/09/2016,8,pm,1.7839,2.0132,1.6588,1.0886,0.725,483,1.0589,0.5999,0.0297,0.83,0.21,0.07,0.57,0.34,0.52,gt11
P-DM-MB-5,P,DM,125,13/07/2016,02/11/2016,16,gt,1.4906,1.7383,1.3469,0.8467,0.957,638,0.5336,0.8133,0.3131,0.85,0.29,0.1,0.5,0.37,0.59,gt12
P-DM-MB-6,P,DM,126,13/07/2016,02/11/2016,16,gt,1.4997,1.667,1.2911,0.6176,0.958,639,0.5417,0.7494,0.0759,0.78,0.29,0.14,0.67,0.52,1.09,gt13
P-DM-MB-7,P,DM,127,13/07/2016,02/11/2016,16,gt,1.3904,1.6636,1.1945,0.6491,0.887,591,0.5034,0.6911,0.1457,0.78,0.39,0.14,0.55,0.46,0.84,gt14
P-DM-MB-8,P,DM,128,13/07/2016,02/11/2016,16,gt,1.5275,1.8476,1.3667,0.7404,0.944,629,0.5835,0.7832,0.1569,0.83,0.35,0.11,0.63,0.46,0.85,gt15
P-DM-MB-9,P,DM,129,28/07/2016,17/11/2016,16,pm,1.5019,1.5465,1.3042,0.549,0.926,617,0.5759,0.7283,-0.0269,0.79,0.19,0.13,0.76,0.58,1.38,gt16
P-GM-MB-1,P,GM,161,13/07/2016,02/11/2016,16,pm,1.2705,1.8276,1.1051,0.6282,0.726,484,0.5445,0.5606,0.0837,0.77,0.65,0.13,0.48,0.43,0.76,gt17
P-GM-MB-10,P,GM,170,28/07/2016,17/11/2016,16,pm,1.059,1.7996,0.9111,0.6046,0.426,284,0.633,0.2781,-0.0284,0.65,0.98,0.14,0.31,0.34,0.51,gt18
P-GM-MB-11,P,GM,171,28/07/2016,17/11/2016,16,pm,1.8038,2.1402,1.3726,1.0473,0.772,515,1.0318,0.3408,0.0155,0.44,0.56,0.24,0.33,0.24,0.31,gt19
P-GM-MB-12,P,GM,172,28/07/2016,17/11/2016,16,pm,1.8288,2.2016,1.4293,1.1199,0.732,488,1.0968,0.3325,0.0231,0.45,0.54,0.22,0.31,0.22,0.28,gt20
P-GM-MB-13,P,GM,173,28/07/2016,17/11/2016,16,pm,1.8293,2.1672,1.383,1.1612,0.725,483,1.1043,0.2787,0.0569,0.38,0.57,0.24,0.22,0.16,0.19,pm17
P-GM-MB-14,P,GM,174,28/07/2016,17/11/2016,16,pm,1.8214,2.1806,1.4391,1.1603,0.749,499,1.0724,0.3667,0.0879,0.49,0.52,0.21,0.28,0.19,0.24,pm18
P-GM-MB-15,P,GM,175,28/07/2016,17/11/2016,16,pm,1.802,2.1883,1.4498,1.1404,0.684,456,1.118,0.3318,0.0224,0.49,0.51,0.2,0.31,0.21,0.27,pm19
P-GM-MB-16,P,GM,176,28/07/2016,17/11/2016,16,gt,1.5636,2.0475,1.1606,0.9996,0.558,372,1.0056,0.155,-0.006,0.28,0.76,0.26,0.16,0.14,0.16,pm20
P-GM-MB-17,P,GM,177,28/07/2016,17/11/2016,16,gt,1.69,2.0392,1.1051,0.9717,0.732,488,0.958,0.1471,0.0137,0.2,0.85,0.35,0.13,0.12,0,plo1
P-GM-MB-18,P,GM,178,28/07/2016,17/11/2016,16,gt,1.707,2.1064,1.1763,1.0362,0.663,442,1.044,0.1323,-0.0078,0.2,0.79,0.31,0.14,0.12,0,plo2
P-GM-MB-19,P,GM,179,28/07/2016,17/11/2016,16,gt,1.6825,2.0212,1.0738,0.9343,0.739,493,0.9435,0.1303,-0.0092,0.18,0.88,0.36,0.14,0.13,0,plo3
P-GM-MB-2,P,GM,162,13/07/2016,02/11/2016,16,pm,1.0931,1.3667,0.9343,0.647,0.47,313,0.6231,0.3112,0.0239,0.66,0.46,0.15,0.29,0.31,0,plo4
