Value,Dimension,Panel
1,boring-interesting,oakverticals
0,boring-interesting,oakverticals
0,boring-interesting,oakverticals
2,boring-interesting,oakverticals
0,boring-interesting,oakverticals
1,boring-interesting,oakverticals
1,boring-interesting,oakverticals
0,boring-interesting,oakverticals
-2,boring-interesting,oakverticals
1,boring-interesting,oakverticals
0,boring-interesting,oakverticals
1,boring-interesting,oakverticals
0,boring-interesting,oakverticals
2,boring-interesting,oakverticals
1,boring-interesting,oakverticals
0,boring-interesting,oakverticals
2,boring-interesting,oakverticals
1,boring-interesting,oakverticals
0,boring-interesting,oakverticals
-1,boring-interesting,oakverticals
0,boring-interesting,oakverticals
0,boring-interesting,oakverticals
0,boring-interesting,oakverticals
-1,boring-interesting,oakverticals
-2,boring-interesting,oakverticals
-1,boring-interesting,oakverticals
0,boring-interesting,oakverticals
-1,boring-interesting,oakverticals
2,boring-interesting,oakverticals
1,boring-interesting,oakverticals
0,boring-interesting,oakverticals
1,boring-interesting,oakverticals
0,boring-interesting,oakverticals
2,boring-interesting,oakverticals
2,boring-interesting,oakverticals
0,boring-interesting,oakverticals
2,boring-interesting,oakverticals
2,boring-interesting,oakverticals
2,boring-interesting,oakverticals
0,boring-interesting,oakverticals
2,boring-interesting,oakverticals
2,boring-interesting,oakverticals
2,boring-interesting,oakverticals
-2,boring-interesting,oakverticals
-1,boring-interesting,oakverticals
0,boring-interesting,oakverticals
0,boring-interesting,oakverticals
1,boring-interesting,oakverticals
2,boring-interesting,oakverticals
0,boring-interesting,oakverticals
1,boring-interesting,oakverticals
1,boring-interesting,oakverticals
1,boring-interesting,oakverticals
0,boring-interesting,oakverticals
1,boring-interesting,oakverticals
0,boring-interesting,oakverticals
0,boring-interesting,oakverticals
-1,boring-interesting,oakverticals
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
0,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
0,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
0,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
0,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
