rating,subject_id
5,A25
4,A26
3,A27
4,A28
3,A29
6,A30
5,A31
1,A32
5,A33
5,A34
5,B35
4,B36
6,B37
3,B38
7,B39
5,B40
3,B41
4,B42
6,B43
5,B44
2,C45
6,C46
6,C47
6,C48
2,C49
4,C50
2,C51
6,C52
7,C53
6,C54
