country_name,country_text_id,year,region,polyarchy,corruption,civil_liberties,prop_fem,quota
Sao Tome and Principe,STP,2020,4,69.19999999999999,0.279,0.905,0.2364,FALSE
Saudi Arabia,SAU,2020,3,1.5,0.393,0.149,0.19870000000000002,TRUE
Serbia,SRB,2020,1,35.099999999999994,0.672,0.779,0.392,TRUE
Seychelles,SYC,2020,4,66.7,0.076,0.854,0.2286,FALSE
Singapore,SGP,2020,6,40,0.007,0.71,0.29469999999999996,FALSE
Slovakia,SVK,2020,1,84.3,0.211,0.892,0.2267,FALSE
Slovenia,SVN,2020,1,75.4,0.136,0.87,0.2667,TRUE
Solomon Islands,SLB,2020,6,62,0.644,0.827,0.08,TRUE
United Arab Emirates,ARE,2020,3,10.299999999999999,0.116,0.392,0.5,TRUE
Hungary,HUN,2020,1,46.800000000000004,0.48,0.827,0.12560000000000002,FALSE
Zanzibar,ZZB,2020,4,27.1,0.693,0.589,0.3636,TRUE
